jackpot,title,bonus,coins_range,volatility,slot_reels,software
Classic Slot,Golden Caravan Slot Review,Starts at 10 Free Spins / Starts with 2x Multiplier,0.01 - 2.00,High,5 Reels / 10 Paylines,Mobile Classic Slot by Play'nGo
Video Slot,Sails of Gold Slot Review,Starts at 10 Free Spins / No Multipliers,0.01 - 2.00,Low/Medium,5 Reels / 10 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Jimi Hendrix Slot Review,"Up to 12 Free Spins / Wild Reels, or Extra Wilds",0.01 - 1.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,King Kong (NextGen) Slot Review,"Free Spins, Mystery Prizes, Expanded Wild",0.01 - 2.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Jason’s Quest Slot Review,Up to 10 Free Spins / 3x Multiplier or Instant Wins,0.01 - 2.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Genesis
Video Slot,More Monkeys Slot Review,"Wilds, Scatters, Free Spins, 3 Jackpots",0.01 - 1.25,Low/Medium,5 Reels / 1024 Ways to Win,Mobile Video Slot
Video Slot,Neon Reels Slot Review,10 Free Spins / Up to 3x Multiplier on the Wild,0.01 - 1.00,Low/Medium,Progressive - a few hundreds to a few thousands,Mobile Video Slot by iSoftBet
Video Slot,The Rift Slot Review,"Re-spins, Extra Wilds, Sticky Wilds, Free Spins, Scatters",0.10 / 100,Low/Medium,5 Reels / 17 Paylines,Mobile Video Slot by Thunderkick
Video Slot,Wizard of Oz Ruby Slippers Slot Review,"Free Spins, Multipliers, Instant Cash, Click Me Bonus",0.30 - 1.00,Medium/High,3 Reels / 30 Paylines,Mobile Video Slot by WMS
Video Slot,1429 Uncharted Seas Slot Review,"Expanding Wilds, Free Spins",0.10 / 100,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Thunderkick
Video Slot,A Dragon’s Story Slot Review,10 Free Spins / 2x Multipliers,0.01 - 2.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Witch Pickings Slot Review,"Wilds, Scatters, Free Spins, Multipliers, Symbol Prizes",40 / 80,0.01 - 2.00,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,The Wild Chase Slot Review,10 Free Spins / 1x Guaranteed Wild on Each Spin,0.01,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Quickspin
Video Slot,Aloha Cluster Pays Slot Review,Up to 12 Free Spins / Lower symbols removed,0.01 - 2.00,Low/Medium,6 Reels / All Ways Pay,Mobile Video Slot by NetEnt
Video Slot,Potion Factory Slot Review,"Free Spins, Expanded Wilds, Sticky Wilds, Instant cash, Click Me Bonus",0.01 - 0.50,Medium/High,5 Reels / 40 Paylines,Mobile Video Slot by Leander Games
Video Slot,Bar Bar Black Sheep Slot Review,Up to 20 Free Spins / 3x Multiplier,0.01 - 0.50,Low,5 Reels / 15 Paylines,Mobile Video Slot by Microgaming
